,cvxopt,quadprog,qpOases
0,0.0007812976837158203,0.00018262863159179688,0.00021409988403320312
1,0.0016202926635742188,0.00018453598022460938,0.000225067138671875
2,0.0016109943389892578,0.0001842975616455078,0.00024008750915527344
3,0.0017840862274169922,0.00018358230590820312,0.0002624988555908203
4,0.0017940998077392578,0.00018405914306640625,0.00027680397033691406
5,0.0017976760864257812,0.00018453598022460938,0.0003066062927246094
6,0.0017936229705810547,0.00018548965454101562,0.0003228187561035156
7,0.0019197463989257812,0.0001876354217529297,0.0003561973571777344
8,0.0019388198852539062,0.00017786026000976562,0.0003612041473388672
9,0.003929615020751953,0.00018286705017089844,0.0003876686096191406
10,0.0019838809967041016,0.00019502639770507812,0.0004448890686035156
11,0.0020935535430908203,0.00022149085998535156,0.00046896934509277344
12,0.0024590492248535156,0.00021338462829589844,0.0005106925964355469
13,0.0020499229431152344,0.0002067089080810547,0.0006139278411865234
14,0.0020689964294433594,0.00021004676818847656,0.0005967617034912109
15,0.0044934749603271484,0.0002155303955078125,0.0007052421569824219
16,0.002408742904663086,0.00022363662719726562,0.0007779598236083984
17,0.0022041797637939453,0.000209808349609375,0.0008082389831542969
18,0.002623319625854492,0.0001862049102783203,0.0008437633514404297
19,0.002442598342895508,0.000217437744140625,0.0009479522705078125
20,0.003047943115234375,0.00022721290588378906,0.0010223388671875
21,0.0030760765075683594,0.00022554397583007812,0.0011529922485351562
22,0.0023534297943115234,0.00022459030151367188,0.0012359619140625
23,0.0027506351470947266,0.00020623207092285156,0.001245737075805664
24,0.003056049346923828,0.00021600723266601562,0.0013518333435058594
25,0.003186941146850586,0.00021028518676757812,0.0015106201171875
26,0.0022907257080078125,0.00025653839111328125,0.001734018325805664
27,0.0025742053985595703,0.00025153160095214844,0.0017993450164794922
28,0.006333351135253906,0.0002894401550292969,0.0018799304962158203
29,0.0031943321228027344,0.000240325927734375,0.002128124237060547
30,0.0028994083404541016,0.00032138824462890625,0.0021386146545410156
31,0.0038928985595703125,0.0002727508544921875,0.002281665802001953
32,0.0034928321838378906,0.00030803680419921875,0.0024580955505371094
33,0.0035293102264404297,0.00035691261291503906,0.0026807785034179688
34,0.0035419464111328125,0.0003228187561035156,0.0030317306518554688
35,0.0036334991455078125,0.00032901763916015625,0.003118753433227539
36,0.019472599029541016,0.00040531158447265625,0.003730297088623047
37,0.007703542709350586,0.0004718303680419922,0.004665851593017578
38,0.0035228729248046875,0.0004608631134033203,0.004289150238037109
39,0.009317874908447266,0.0004215240478515625,0.004492998123168945
40,0.008529424667358398,0.00045180320739746094,0.004919290542602539
41,0.008652448654174805,0.0005447864532470703,0.005541801452636719
42,0.003317594528198242,0.0004470348358154297,0.005565643310546875
43,0.00426030158996582,0.0005173683166503906,0.0058934688568115234
