,cvxopt
2,0.0008089542388916016
3,0.0016810894012451172
4,0.0014081001281738281
5,0.001177072525024414
6,0.0012822151184082031
7,0.0018181800842285156
8,0.0014998912811279297
9,0.0016980171203613281
10,0.002324819564819336
11,0.0020837783813476562
12,0.002028942108154297
13,0.0025179386138916016
14,0.002780914306640625
15,0.002858877182006836
16,0.002972126007080078
17,0.0031621456146240234
18,0.003368854522705078
19,0.0034880638122558594
20,0.003548145294189453
21,0.005103111267089844
22,0.004797935485839844
23,0.004589080810546875
24,0.005833864212036133
25,0.0065419673919677734
26,0.008045196533203125
27,0.0076029300689697266
28,0.008244037628173828
29,0.008449077606201172
30,0.009792089462280273
31,0.01055908203125
32,0.01044607162475586
33,0.01076197624206543
34,0.011747121810913086
35,0.011646032333374023
36,0.013244152069091797
37,0.01233673095703125
38,0.012478828430175781
39,0.013379096984863281
40,0.014399051666259766
41,0.014884710311889648
42,0.014889001846313477
43,0.014590978622436523
44,0.013571977615356445
45,0.01575183868408203
46,0.01659679412841797
47,0.017934083938598633
48,0.018576860427856445
49,0.018004894256591797
50,0.018919944763183594
51,0.019057035446166992
52,0.019845962524414062
53,0.022902965545654297
54,0.021533966064453125
55,0.0244290828704834
56,0.024366140365600586
57,0.02579188346862793
58,0.026299715042114258
59,0.028801679611206055
60,0.02945399284362793
61,0.030942201614379883
62,0.032308101654052734
63,0.033580780029296875
64,0.04041004180908203
65,0.0368342399597168
66,0.03681612014770508
67,0.03510689735412598
68,0.03772115707397461
69,0.0374760627746582
70,0.039032936096191406
71,0.04377913475036621
72,0.04330301284790039
73,0.046929121017456055
74,0.048204898834228516
75,0.044825077056884766
76,0.04850411415100098
77,0.05465865135192871
78,0.0545041561126709
79,0.0542302131652832
80,0.0743558406829834
81,0.0654141902923584
82,0.06319212913513184
83,0.0714271068572998
84,0.06134915351867676
85,0.06165814399719238
86,0.16680002212524414
87,0.06607317924499512
88,0.0749969482421875
89,0.08385086059570312
90,0.07151412963867188
91,0.07636785507202148
92,0.07944011688232422
93,0.08392500877380371
94,0.21003198623657227
95,0.09319901466369629
96,0.1063070297241211
97,0.09908723831176758
98,0.09499287605285645
99,0.09164571762084961
