,cvxopt
2,0.04178309440612793
3,0.04038119316101074
4,0.03976321220397949
5,0.04962921142578125
6,0.07596802711486816
7,0.04713797569274902
8,0.09450864791870117
9,0.04097270965576172
10,0.040498971939086914
11,0.04922914505004883
12,0.05818295478820801
13,0.10197186470031738
14,0.04778003692626953
15,0.04127097129821777
16,0.04609322547912598
17,0.03845620155334473
18,0.0501711368560791
19,0.03354811668395996
20,0.029446125030517578
21,0.030212879180908203
22,0.03129768371582031
23,0.029030323028564453
24,0.031651973724365234
25,0.029055118560791016
26,0.030109167098999023
27,0.02673482894897461
28,0.028080224990844727
29,0.02907276153564453
30,0.031162261962890625
31,0.030536174774169922
32,0.03162980079650879
33,0.029891014099121094
34,0.030199050903320312
35,0.029923200607299805
36,0.030076980590820312
37,0.029887914657592773
38,0.028764963150024414
39,0.02809596061706543
40,0.028750181198120117
41,0.029167890548706055
42,0.027209997177124023
43,0.030920982360839844
44,0.028827905654907227
45,0.09665369987487793
46,0.03477931022644043
47,0.03195309638977051
48,0.029713869094848633
49,0.029781818389892578
50,0.029671907424926758
51,0.030061721801757812
52,0.030776023864746094
53,0.029195070266723633
54,0.029801130294799805
55,0.18916988372802734
56,0.02931833267211914
57,0.03672194480895996
58,0.033052921295166016
59,0.0303957462310791
60,0.031271934509277344
61,0.02908611297607422
62,0.03483104705810547
63,0.03190493583679199
64,0.03119373321533203
65,0.030833959579467773
66,0.03145289421081543
67,0.02765798568725586
68,0.03008413314819336
69,0.02834606170654297
70,0.06206798553466797
71,0.0314638614654541
72,0.028577089309692383
73,0.028814077377319336
74,0.029360055923461914
75,0.029690027236938477
76,0.029424190521240234
77,0.03253507614135742
78,0.0317840576171875
79,0.029302120208740234
80,0.029004812240600586
81,0.0320131778717041
82,0.03198099136352539
83,0.029932022094726562
84,0.02977609634399414
85,0.030093908309936523
86,0.03164196014404297
87,0.03130292892456055
88,0.02981400489807129
89,0.026962995529174805
90,0.030106067657470703
91,0.030015945434570312
92,0.029921770095825195
93,0.02757096290588379
94,0.030018091201782227
95,0.029703855514526367
96,0.03011798858642578
97,0.027354001998901367
98,0.03217482566833496
99,0.029708147048950195
