,cvxopt
2,0.028472185134887695
3,0.027622222900390625
4,0.02691483497619629
5,0.026893138885498047
6,0.026886940002441406
7,0.026797056198120117
8,0.02722620964050293
9,0.028967857360839844
10,0.027656078338623047
11,0.0273439884185791
12,0.02946305274963379
13,0.026849031448364258
14,0.026713132858276367
15,0.026674985885620117
16,0.0278778076171875
17,0.02599310874938965
18,0.027885913848876953
19,0.02772688865661621
20,0.02617335319519043
21,0.026725292205810547
22,0.026541948318481445
23,0.030710935592651367
24,0.028752803802490234
25,0.026729106903076172
26,0.03774714469909668
27,0.027147769927978516
28,0.02820301055908203
29,0.027388811111450195
30,0.028356313705444336
31,0.02861809730529785
32,0.02929997444152832
33,0.028285741806030273
34,0.02817702293395996
35,0.02738785743713379
36,0.02606797218322754
37,0.032183170318603516
38,0.03194379806518555
39,0.029004812240600586
40,0.028363943099975586
41,0.027495861053466797
42,0.026713848114013672
43,0.027193069458007812
44,0.0261838436126709
45,0.027254104614257812
46,0.024434804916381836
47,0.02660083770751953
48,0.0272519588470459
49,0.02730107307434082
50,0.028599023818969727
51,0.027225017547607422
52,0.02721691131591797
53,0.027081966400146484
54,0.026660919189453125
55,0.02676105499267578
56,0.0276639461517334
57,0.02579808235168457
58,0.027400970458984375
59,0.027377843856811523
60,0.029850244522094727
61,0.028202056884765625
62,0.028010845184326172
63,0.02855682373046875
64,0.028550148010253906
65,0.028109073638916016
66,0.028259992599487305
67,0.028218746185302734
68,0.027718067169189453
69,0.027711868286132812
70,0.027906179428100586
71,0.028455257415771484
72,0.026499271392822266
73,0.02881908416748047
74,0.02871417999267578
75,0.02873396873474121
76,0.028842926025390625
77,0.028906822204589844
78,0.029539108276367188
79,0.0295560359954834
80,0.028844118118286133
81,0.02908802032470703
82,0.029467105865478516
83,0.029626131057739258
84,0.029381275177001953
85,0.03194689750671387
86,0.032009124755859375
87,0.028913021087646484
88,0.026376962661743164
89,0.029006004333496094
90,0.029186010360717773
91,0.029607772827148438
92,0.02974677085876465
93,0.0299072265625
94,0.030588865280151367
95,0.030436992645263672
96,0.029700756072998047
97,0.030061960220336914
98,0.03541302680969238
99,0.02979588508605957
