,cvxopt
2,0.04553699493408203
3,0.05528378486633301
4,0.04558086395263672
5,0.048020124435424805
6,0.043810129165649414
7,0.0297088623046875
8,0.027813196182250977
9,0.028390169143676758
10,0.028022050857543945
11,0.027355194091796875
12,0.025559186935424805
13,0.028198957443237305
14,0.028209209442138672
15,0.02565908432006836
16,0.028284788131713867
17,0.026997804641723633
18,0.027619123458862305
19,0.027613162994384766
20,0.027047157287597656
21,0.02785515785217285
22,0.02956700325012207
23,0.029959917068481445
24,0.044306039810180664
25,0.030920028686523438
26,0.029545068740844727
27,0.025119781494140625
28,0.02809596061706543
29,0.027601003646850586
30,0.0271759033203125
31,0.026926279067993164
32,0.028773069381713867
33,0.030719995498657227
34,0.02828216552734375
35,0.02816295623779297
36,0.027714014053344727
37,0.027749061584472656
38,0.02914714813232422
39,0.027997255325317383
40,0.026174306869506836
41,0.02816486358642578
42,0.031549930572509766
43,0.027172088623046875
44,0.027633190155029297
45,0.029581785202026367
46,0.02705526351928711
47,0.029530048370361328
48,0.027785062789916992
49,0.030363798141479492
50,0.03075718879699707
51,0.0299680233001709
52,0.029168128967285156
53,0.02724313735961914
54,0.026693105697631836
55,0.0254061222076416
56,0.026140928268432617
57,0.026839017868041992
58,0.026430368423461914
59,0.026726245880126953
60,0.026124954223632812
61,0.02723097801208496
62,0.025252819061279297
63,0.027006864547729492
64,0.025064945220947266
65,0.028028011322021484
66,0.027415752410888672
67,0.03061199188232422
68,0.02755880355834961
69,0.02673816680908203
70,0.027167320251464844
71,0.02916097640991211
72,0.027544021606445312
73,0.024734973907470703
74,0.02672100067138672
75,0.02741098403930664
76,0.030416011810302734
77,0.030169010162353516
78,0.03525996208190918
79,0.028995037078857422
80,0.033141136169433594
81,0.029397964477539062
82,0.0350499153137207
83,0.030000925064086914
84,0.02895188331604004
85,0.02801513671875
86,0.030313968658447266
87,0.030046939849853516
88,0.030271053314208984
89,0.028716087341308594
90,0.027385950088500977
91,0.03102397918701172
92,0.033457040786743164
93,0.029391765594482422
94,0.02965092658996582
95,0.028229713439941406
96,0.028183937072753906
97,0.028096914291381836
98,0.030069828033447266
99,0.029426097869873047
