,cvxopt,quadprog,ecos
2,0.0006020069122314453,5.1975250244140625e-05,0.0008120536804199219
3,0.0006306171417236328,5.1021575927734375e-05,0.0007729530334472656
4,0.0006029605865478516,5.2928924560546875e-05,0.0008018016815185547
5,0.0006041526794433594,5.412101745605469e-05,0.0009400844573974609
6,0.0006170272827148438,5.2928924560546875e-05,0.0008509159088134766
7,0.0006220340728759766,6.127357482910156e-05,0.0008859634399414062
8,0.0006768703460693359,5.412101745605469e-05,0.0008623600006103516
9,0.0006167888641357422,5.602836608886719e-05,0.0009691715240478516
10,0.00063323974609375,5.507469177246094e-05,0.0009520053863525391
11,0.0006322860717773438,5.626678466796875e-05,0.0009729862213134766
12,0.0006277561187744141,6.461143493652344e-05,0.0009980201721191406
13,0.0006802082061767578,6.198883056640625e-05,0.0009648799896240234
14,0.0007619857788085938,5.817413330078125e-05,0.0009789466857910156
15,0.0007560253143310547,5.91278076171875e-05,0.0010042190551757812
16,0.0006515979766845703,6.604194641113281e-05,0.001094818115234375
17,0.000659942626953125,6.127357482910156e-05,0.001055002212524414
18,0.0006709098815917969,6.198883056640625e-05,0.0013217926025390625
19,0.0006692409515380859,6.771087646484375e-05,0.001148223876953125
20,0.0008018016815185547,6.604194641113281e-05,0.0012171268463134766
21,0.0009050369262695312,8.296966552734375e-05,0.0012631416320800781
22,0.0009047985076904297,7.796287536621094e-05,0.0012907981872558594
23,0.0008111000061035156,6.508827209472656e-05,0.0014500617980957031
24,0.0006740093231201172,7.104873657226562e-05,0.0013110637664794922
25,0.0009908676147460938,7.104873657226562e-05,0.001386880874633789
26,0.0010559558868408203,7.224082946777344e-05,0.001415252685546875
27,0.0009047985076904297,7.200241088867188e-05,0.0014390945434570312
28,0.001085042953491211,8.130073547363281e-05,0.0015587806701660156
29,0.0008230209350585938,8.392333984375e-05,0.0016880035400390625
30,0.0011487007141113281,8.702278137207031e-05,0.0015079975128173828
31,0.0008549690246582031,8.296966552734375e-05,0.00177001953125
32,0.0009818077087402344,0.00010275840759277344,0.0017311573028564453
33,0.0013630390167236328,8.916854858398438e-05,0.0017728805541992188
34,0.0012822151184082031,9.894371032714844e-05,0.0015790462493896484
35,0.0013079643249511719,0.00010204315185546875,0.0017578601837158203
36,0.0013051033020019531,0.00011396408081054688,0.0017828941345214844
37,0.0011830329895019531,9.703636169433594e-05,0.002299785614013672
38,0.0010869503021240234,0.00011014938354492188,0.0022592544555664062
39,0.0013589859008789062,0.00011110305786132812,0.001997709274291992
40,0.0012171268463134766,0.00011014938354492188,0.002293109893798828
41,0.0012519359588623047,0.0001461505889892578,0.0021800994873046875
42,0.0015349388122558594,0.00011801719665527344,0.002148151397705078
43,0.0015528202056884766,0.00014710426330566406,0.002254009246826172
44,0.0013611316680908203,0.00016307830810546875,0.0022182464599609375
45,0.0015859603881835938,0.0001590251922607422,0.002527952194213867
46,0.0014531612396240234,0.00015306472778320312,0.0024671554565429688
47,0.00150299072265625,0.00014019012451171875,0.0024759769439697266
48,0.0013308525085449219,0.0001609325408935547,0.0024929046630859375
49,0.00150299072265625,0.0001659393310546875,0.002886056900024414
50,0.0014698505401611328,0.0001747608184814453,0.002627134323120117
51,0.001753091812133789,0.0001971721649169922,0.0027360916137695312
52,0.0015017986297607422,0.00024890899658203125,0.0028409957885742188
53,0.0015020370483398438,0.00019311904907226562,0.0030100345611572266
54,0.0015826225280761719,0.0002300739288330078,0.003350973129272461
