,cvxopt
2,0.0012369155883789062
3,0.001027822494506836
4,0.0010797977447509766
5,0.001280069351196289
6,0.0010058879852294922
7,0.00148773193359375
8,0.001405954360961914
9,0.0012867450714111328
10,0.0014541149139404297
11,0.0013270378112792969
12,0.0013949871063232422
13,0.0017330646514892578
14,0.0015320777893066406
15,0.001703023910522461
16,0.0015709400177001953
17,0.0018601417541503906
18,0.0017862319946289062
19,0.001992940902709961
20,0.0023670196533203125
21,0.0023560523986816406
22,0.0023658275604248047
23,0.0024938583374023438
24,0.002725839614868164
25,0.0028312206268310547
26,0.002933979034423828
27,0.0032651424407958984
28,0.003019094467163086
29,0.0033197402954101562
30,0.003731250762939453
31,0.003895998001098633
32,0.004188060760498047
33,0.0035791397094726562
34,0.004808902740478516
35,0.005193948745727539
36,0.004575014114379883
37,0.005311012268066406
38,0.005072116851806641
39,0.00510096549987793
40,0.005326271057128906
41,0.006987094879150391
42,0.007577180862426758
43,0.007589817047119141
44,0.008075952529907227
45,0.008154869079589844
46,0.008500099182128906
47,0.0076138973236083984
48,0.008427143096923828
49,0.00883936882019043
50,0.008888721466064453
51,0.009428977966308594
52,0.010506868362426758
53,0.009612083435058594
54,0.009845972061157227
55,0.01129603385925293
56,0.010087966918945312
57,0.011586189270019531
58,0.011389970779418945
59,0.012939929962158203
60,0.01261591911315918
61,0.01258707046508789
62,0.013794183731079102
63,0.014236927032470703
64,0.01617574691772461
65,0.013895988464355469
66,0.01526188850402832
67,0.015766143798828125
68,0.02054286003112793
69,0.01711893081665039
70,0.014542102813720703
71,0.016507863998413086
72,0.01657891273498535
73,0.016806840896606445
74,0.017277002334594727
75,0.018000125885009766
76,0.017681121826171875
77,0.017618894577026367
78,0.018985986709594727
79,0.019462108612060547
80,0.020354032516479492
81,0.020893335342407227
82,0.018777132034301758
83,0.0207669734954834
84,0.022201061248779297
85,0.02170276641845703
86,0.022598981857299805
87,0.022384166717529297
88,0.020763158798217773
89,0.02565789222717285
90,0.02286505699157715
91,0.026938199996948242
92,0.025199174880981445
93,0.02913188934326172
94,0.028543949127197266
95,0.02916884422302246
96,0.031083106994628906
97,0.031033039093017578
98,0.031190156936645508
99,0.03146004676818848
