,cvxopt
2,0.001093149185180664
3,0.0011560916900634766
4,0.001077890396118164
5,0.0013649463653564453
6,0.001316070556640625
7,0.001627206802368164
8,0.001461029052734375
9,0.001798868179321289
10,0.001968860626220703
11,0.0020568370819091797
12,0.001980304718017578
13,0.0026581287384033203
14,0.0028269290924072266
15,0.0029621124267578125
16,0.0031609535217285156
17,0.003370046615600586
18,0.0033991336822509766
19,0.0050029754638671875
20,0.004492998123168945
21,0.0043430328369140625
22,0.005023002624511719
23,0.005167961120605469
24,0.006880998611450195
25,0.007175922393798828
26,0.007630109786987305
27,0.008614301681518555
28,0.008021831512451172
29,0.01024007797241211
30,0.00883793830871582
31,0.0110321044921875
32,0.01127314567565918
33,0.010457992553710938
34,0.012075185775756836
35,0.014811038970947266
36,0.012953758239746094
37,0.012664079666137695
38,0.012890100479125977
39,0.014839887619018555
40,0.014795064926147461
41,0.014811992645263672
42,0.014694929122924805
43,0.018233776092529297
44,0.01710796356201172
45,0.018761873245239258
46,0.017988204956054688
47,0.018536090850830078
48,0.020452022552490234
49,0.021327972412109375
50,0.022969722747802734
51,0.022172927856445312
52,0.027560949325561523
53,0.025150060653686523
54,0.0240020751953125
55,0.02473902702331543
56,0.03904104232788086
57,0.04305696487426758
58,0.027907848358154297
59,0.028331995010375977
60,0.030665874481201172
61,0.03009319305419922
62,0.030963897705078125
63,0.03485703468322754
64,0.04150509834289551
65,0.041848182678222656
66,0.0382080078125
67,0.039322853088378906
68,0.06380891799926758
69,0.07107305526733398
70,0.04099607467651367
71,0.041821956634521484
72,0.041661977767944336
73,0.04631614685058594
74,0.048629045486450195
75,0.049816131591796875
76,0.04984092712402344
77,0.052084922790527344
78,0.053771018981933594
79,0.07332396507263184
80,0.06257987022399902
81,0.0597078800201416
82,0.06698489189147949
83,0.07274389266967773
84,0.06664085388183594
85,0.06592321395874023
86,0.06946206092834473
87,0.072235107421875
88,0.13301491737365723
89,0.07418394088745117
90,0.07559490203857422
91,0.08320999145507812
92,0.08217024803161621
93,0.08098506927490234
94,0.09406208992004395
95,0.08121275901794434
96,0.09818005561828613
97,0.09346699714660645
98,0.09590983390808105
99,0.08552908897399902
