,cvxopt
2,0.0012688636779785156
3,0.0010609626770019531
4,0.0012729167938232422
5,0.0017001628875732422
6,0.0014519691467285156
7,0.0016360282897949219
8,0.0017240047454833984
9,0.0018579959869384766
10,0.0021049976348876953
11,0.0020689964294433594
12,0.0023119449615478516
13,0.0025763511657714844
14,0.0033159255981445312
15,0.003362894058227539
16,0.0037419795989990234
17,0.0042989253997802734
18,0.003866910934448242
19,0.00475311279296875
20,0.004893302917480469
21,0.004603147506713867
22,0.007246971130371094
23,0.0060880184173583984
24,0.0070688724517822266
25,0.007531642913818359
26,0.009048938751220703
27,0.009285211563110352
28,0.009735345840454102
29,0.010938882827758789
30,0.011432886123657227
31,0.013912200927734375
32,0.013672828674316406
33,0.014802932739257812
34,0.011593103408813477
35,0.013874053955078125
36,0.016290664672851562
37,0.01790928840637207
38,0.02002096176147461
39,0.0208890438079834
40,0.01983499526977539
41,0.019798994064331055
42,0.019267797470092773
43,0.017942190170288086
44,0.018034934997558594
45,0.018461942672729492
46,0.017779111862182617
47,0.019947052001953125
48,0.022623300552368164
49,0.022967815399169922
50,0.02442479133605957
51,0.02315378189086914
52,0.025933027267456055
53,0.025728702545166016
54,0.023734092712402344
55,0.028439044952392578
56,0.028878211975097656
57,0.030727148056030273
58,0.028542280197143555
59,0.03258800506591797
60,0.03173708915710449
61,0.03385806083679199
62,0.0352020263671875
63,0.03704190254211426
64,0.04296517372131348
65,0.04036688804626465
66,0.04526805877685547
67,0.048931121826171875
68,0.05016589164733887
69,0.048036813735961914
70,0.056642770767211914
71,0.05149388313293457
72,0.05157303810119629
73,0.08285021781921387
74,0.07270097732543945
75,0.05252885818481445
76,0.04914689064025879
77,0.056054115295410156
78,0.0586848258972168
79,0.059850215911865234
80,0.06030106544494629
81,0.09584689140319824
82,0.06482386589050293
83,0.0651552677154541
84,0.06444787979125977
85,0.0682229995727539
86,0.07188987731933594
87,0.07246994972229004
88,0.12331485748291016
89,0.08123898506164551
90,0.07885599136352539
91,0.08122920989990234
92,0.08605313301086426
93,0.08460879325866699
94,0.08546209335327148
95,0.0881962776184082
96,0.0885009765625
97,0.09206318855285645
98,0.09321403503417969
99,0.11679887771606445
